BET,LINE,PROB,EL,EP,Mean,SD,WEIGHT,CAP ALLOCATED,PAYOUT,SD * SD,WEIGHT * WEIGHT,SD^2 * WEIGHT^2,COV,RESULT,Portfolio EP,Portfolio SD,Sharpe Ratio
Villa vs Brighton,150,37.98670465,-0.039430478,0.024153432,-0.015277046,0.046240144,0.042389273,4.238927335,10.59731834,0.002138151,0.00179685,3.84E-06,-1.09E-06,,-1.33649E-09,1.21E-02,-1.10E-07
Bournemouth vs Arsenal,450,17.26668393,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,,,,
Man Utd vs Crystal Palace,-180,61.05006105,-0.02198781,0.034463652,0.012475842,0.040880399,0.10161263,10.16126305,15.80640919,0.001671207,0.010325127,1.73E-05,0.00E+00,,,,
Wolves vs Man City,700,11.8708452,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,,,,
Everton vs Luton Town,-165,59.13024781,-0.02375994,0.034375818,0.010615878,0.041787936,0.095924001,9.592400061,15.40597586,0.001746232,0.009201414,1.61E-05,0.00E+00,,,,
NewCastle vs Burnley,-340,73.38340672,-0.011625844,0.032053088,0.020427244,0.034096344,0.148508368,14.85083677,19.21872994,0.001162561,0.022054735,2.56E-05,0.00E+00,,,,
West Ham vs Sheffield ,-215,64.81858334,-0.018596063,0.034261566,0.015665503,0.038982925,0.113643901,11.36439014,16.65015299,0.001519668,0.012914936,1.96E-05,0.00E+00,,,,
Tottenham vs Liverpool,185,33.32167075,-0.035247111,0.017614308,-0.017632803,0.039403334,0.02857374,2.857374012,8.143515933,0.001552623,0.000816459,1.27E-06,-8.81E-07,,,,
Nottingham vs Brentford,190,32.74715918,-0.03192778,0.015546467,-0.016381313,0.035511629,0.024986446,2.498644587,7.246069302,0.001261076,0.000624322,7.87E-07,-4.95E-07,,,,
Fullham vs Chelsea,270,25.66669233,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,,,,
Villa vs Brighton,155,37.24186731,-0.039332447,0.023340621,-0.015991826,0.045736484,0.040434237,4.043423741,10.31073054,0.002091826,0.001634928,3.42E-06,0.00E+00,,,,
Bournemouth vs Arsenal,-195,62.77463905,-0.020417971,0.034431655,0.014013684,0.040030394,0.106956772,10.69567718,16.18063984,0.001602432,0.011439751,1.83E-05,0.00E+00,,,,
Man Utd vs Crystal Palace,475,16.51595854,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,,,,
Wolves vs Man City,-290,70.61630993,-0.013741632,0.033024557,0.019282925,0.035769454,0.135621948,13.56219479,18.23881369,0.001279454,0.018393313,2.35E-05,0.00E+00,,,,
Everton vs Luton Town,475,16.51595854,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,,,,
NewCastle vs Burnley,850,9.996501225,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,,,,
West Ham vs Sheffield ,550,14.61027102,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,,,,
